0.00          .290
21.60         .367
22.10         .373
22.60         .376
23.10         .382
23.60         .388
24.10         .393
24.60         .397
25.10         .403
25.60         .407
26.10         .412
26.60         .418
27.10         .425
27.60         .433
28.10         .437
28.60         .444
29.10         .453
29.60         .461
30.10         .474
30.60         .487
31.10         .498
31.60         .510
32.10         .524
32.60         .540
33.10         .555
33.60         .576
34.10         .597
34.60         .622
35.10         .654
35.60         .687
36.10         .728
36.60         .770
37.10         .814
37.60         .871
38.10         .938
38.60        1.032
39.10        1.168
39.60        1.286
40.10        1.325
40.60        1.184
41.10         .907
41.60         .553
42.10         .211
42.60         .048
43.10         .006
43.60         .000
44.10         .000 
